,Initial Capital,Final Equity,Total Return %,Annualized Return %,Max Drawdown %,Total Trades,Win Rate %,Sharpe Ratio,Sortino Ratio,trend_ema,fast_ema,slow_ema,signal_ema,atr_period,atr_mult,rsi_upper,rsi_lower,enable_trailing,trailing_trigger_atr,trailing_dist_atr,enable_partial_take_profit,take_profit_atr,tp_size,risk_per_trade
64,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,3.0,1.0,False,3.0,0.5,0.95
65,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,3.0,1.0,False,4.0,0.5,0.95
70,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,3.0,1.5,False,3.0,0.5,0.95
69,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,3.0,1.5,False,2.0,0.5,0.95
63,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,3.0,1.0,False,2.0,0.5,0.95
59,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,2.0,1.5,False,4.0,0.5,0.95
58,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,2.0,1.5,False,3.0,0.5,0.95
39,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,1.5,1.0,False,2.0,0.5,0.95
57,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,2.0,1.5,False,2.0,0.5,0.95
40,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,1.5,1.0,False,3.0,0.5,0.95
53,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,2.0,1.0,False,4.0,0.5,0.95
47,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,1.5,1.5,False,4.0,0.5,0.95
45,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,1.5,1.5,False,2.0,0.5,0.95
46,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,1.5,1.5,False,3.0,0.5,0.95
41,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,1.5,1.0,False,4.0,0.5,0.95
