,Type,Date,Price,Amount,Fee,Balance,Reason
0,Buy Long,2021-09-06,51769.00390625,0.18350749064447575,9.5,490.5,
1,Sell Close,2021-09-07,48716.16396397191,0.18350749064447575,8.939781002853321,9421.341221850467,Stop Loss
2,Buy Long,2021-10-02,48137.46875,0.18593154964671763,8.950274160757942,462.1167869317669,
3,Sell Close,2021-10-25,60893.92578125,0.18593154964671763,11.322101984580023,11772.896669527208,Exit Signal
4,Buy Long,2021-11-10,66953.3359375,0.1670454754710234,11.184251836050848,577.4605816403109,
5,Sell Close,2021-11-12,63000.79117269111,0.1670454754710234,10.523997116492842,11090.93370101666,Stop Loss
6,Sell Short,2022-01-06,43565.51171875,0.2418515610234669,10.536387015965827,21616.784329966522,
7,Buy Close,2022-01-15,43101.8984375,0.2418515610234669,10.424261420184303,11182.098648362035,Exit Signal
8,Sell Short,2022-02-20,40118.1015625,0.2647930311307071,10.622993715943933,21794.46937059002,
9,Buy Close,2022-02-28,42752.929826115054,0.2647930311307071,11.32067787837542,10462.470814336226,Stop Loss
10,Sell Short,2022-03-07,38429.3046875,0.2586397894639091,9.939347273619415,20391.87874068202,
11,Buy Close,2022-03-09,41644.57051217933,0.2586397894639091,10.770942949584978,9610.164848147457,Stop Loss
12,Sell Short,2022-04-07,43207.5,0.21129795997778356,9.129656605740083,18730.691797281797,
13,Buy Close,2022-05-23,30309.396484375,0.21129795997778356,6.404313645306242,12319.973838330248,Exit Signal
14,Sell Short,2022-06-13,26737.578125,0.4377350518321762,11.703975146413736,24012.24500959757,
15,Buy Close,2022-06-26,21496.494140625,0.4377350518321762,9.409768976856556,14593.066263764156,Exit Signal
16,Sell Short,2022-08-18,23341.0390625,0.5939501199348524,13.863412950575949,28442.61580138953,
17,Buy Close,2022-09-10,21376.912109375,0.5939501199348524,12.69681951120008,15733.09947067825,Exit Signal
18,Sell Short,2022-09-20,19545.591796875,0.7646964416566815,14.946444497144336,30664.597523325443,
19,Buy Close,2022-09-29,19427.779296875,0.7646964416566815,14.856353697611658,15793.387472016175,Exit Signal
20,Sell Short,2022-11-09,18543.76171875,0.8090978694600449,15.003718098415366,30782.101852333126,
21,Buy Close,2022-11-26,16521.576171875,0.8090978694600449,13.367572080785907,17401.16219946643,Exit Signal
22,Sell Short,2022-12-20,16441.787109375,1.0054323158136005,16.53110408949311,33915.73518487005,
23,Buy Close,2022-12-25,16847.505859375,1.0054323158136005,16.93902683187461,16959.769326163565,Exit Signal
24,Sell Short,2022-12-29,16552.322265625,0.9733849185207982,16.111780859855386,33055.4384051591,
25,Buy Close,2023-01-04,16680.205078125,0.9733849185207982,16.23626006088091,16802.942084217306,Exit Signal
26,Buy Long,2023-02-19,24640.02734375,0.6478399864298624,15.962794980006437,824.1843092308609,
27,Sell Close,2023-02-24,23474.412757313512,0.6478399864298624,15.207663242146975,16016.639888135689,Stop Loss
28,Buy Long,2023-03-15,24770.92578125,0.6142607679704202,15.215807893728906,785.6161865130562,
29,Sell Close,2023-04-03,28183.080078125,0.6142607679704202,17.31176041256091,18080.064838661405,Exit Signal
30,Buy Long,2023-04-12,30231.58203125,0.5681496118520578,17.176061596728335,886.8271803363423,
31,Sell Close,2023-04-18,29449.091796875,0.5681496118520578,16.73149007379015,17601.585764052703,Exit Signal
32,Buy Long,2023-05-29,28075.591796875,0.5955887447299074,16.721506475850067,863.3577817267869,
33,Sell Close,2023-05-31,26894.895842657923,0.5955887447299074,16.01829725457024,16865.636739042457,Stop Loss
34,Buy Long,2023-06-07,27235.650390625,0.5882861129545677,16.022354902090335,827.2594820500326,
35,Sell Close,2023-06-08,26347.654296875,0.5882861129545677,15.499959131779308,16311.71865469756,Exit Signal
36,Buy Long,2023-06-18,26510.45703125,0.5845290672920557,15.496132721962683,800.0898000129164,
37,Sell Close,2023-07-07,29907.998046875,0.5845290672920557,17.482094202912467,18264.701908722473,Exit Signal
38,Buy Long,2023-08-10,29563.97265625,0.5869125578973279,17.351466813286347,895.8836286228398,
39,Sell Close,2023-08-17,28678.77492902955,0.5869125578973279,16.83193315095849,17710.984846430372,Stop Loss
40,Buy Long,2023-08-30,27726.083984375,0.6068450060813062,16.825435604108854,868.7238067174112,
41,Sell Close,2023-08-31,26701.607097822074,0.6068450060813062,16.203736921658486,17056.25699145424,Stop Loss
42,Sell Short,2023-10-12,26873.29296875,0.6029571500866655,16.203444141881526,33243.497689193886,
43,Buy Close,2023-10-16,27789.748914410236,0.6029571500866655,16.756027807056803,16470.713854330028,Stop Loss
44,Buy Long,2023-10-17,28522.09765625,0.548598435858198,15.647178161613525,807.8885145548902,
45,Sell Close,2023-11-08,35419.4765625,0.548598435858198,19.431069441103606,20219.52688621739,Exit Signal
46,Buy Long,2023-12-04,39978.62890625,0.480470468033074,19.20855054190652,991.7677937689659,
47,Sell Close,2023-12-14,42884.26171875,0.480470468033074,20.604621299260653,21575.784471730356,Exit Signal
48,Buy Long,2024-01-09,46987.640625,0.4362209929144285,20.49699524814384,1058.2922283383741,
49,Sell Close,2024-01-12,44401.547965516205,0.4362209929144285,19.368887340455103,20407.810681453022,Stop Loss
50,Buy Long,2024-01-30,43300.2265625,0.44774408095524315,19.38742014738037,1001.0031139252715,
51,Sell Close,2024-02-25,51565.21484375,0.44774408095524315,23.088019729474507,24065.9348236703,Exit Signal
52,Buy Long,2024-02-27,54519.36328125,0.41934895615975726,22.862638082486786,1180.43410310103,
53,Sell Close,2024-03-17,65316.34375,0.41934895615975726,27.390340571734384,28543.38433426368,Exit Signal
54,Buy Long,2024-05-06,64038.3125,0.4234373777033943,27.116215117550496,1400.053001595632,
55,Sell Close,2024-05-12,60793.50390625,0.4234373777033943,25.74224187546356,27116.552635183725,Exit Signal
56,Buy Long,2024-05-14,62900.7734375,0.4095454411068749,25.760725003424536,1330.0669067557646,
