,Type,Date,Price,Amount,Fee,Balance,Reason
0,Buy Long,2021-09-06,51769.00390625,0.18350749064447575,9.5,490.5,
1,Sell Close,2021-09-07,48716.16396397191,0.18350749064447575,8.939781002853321,9421.341221850467,Stop Loss
2,Buy Long,2021-10-02,48137.46875,0.18593154964671763,8.950274160757942,462.1167869317669,
3,Sell Partial,2021-10-06,55506.89705090628,0.09296577482335881,5.160241692377913,5617.198237617302,Partial TP
4,Sell Close,2021-10-12,55321.81602036616,0.09296577482335881,5.143035490968645,10755.090693094979,Stop Loss
5,Buy Long,2021-11-10,66953.3359375,0.15260383990392906,10.217336158440231,527.5371984963076,
6,Sell Close,2021-11-12,63000.79117269111,0.15260383990392906,9.614162649938223,10132.085685784592,Stop Loss
7,Sell Short,2022-01-06,43565.51171875,0.2209426911735938,9.625481401495362,19747.94160587846,
8,Buy Close,2022-01-15,43101.8984375,0.2209426911735938,9.523049435472169,10215.369120970818,Exit Signal
9,Sell Short,2022-02-20,40118.1015625,0.24190079507634418,9.704600664922276,19910.26518522817,
10,Buy Partial,2022-02-24,34620.157856691374,0.12095039753817209,4.187321855601094,15718.756007771477,Partial TP
11,Buy Close,2022-02-25,36291.86665193621,0.12095039753817209,4.389515698954015,11324.850793118509,Stop Loss
12,Sell Short,2022-03-07,38429.3046875,0.27995844163587125,10.758608253462583,22072.70043832763,
13,Buy Close,2022-03-09,41644.57051217933,0.27995844163587125,11.658749063184882,10402.292626079563,Stop Loss
14,Sell Short,2022-04-07,43207.5,0.22871441288608654,9.882177994775585,20274.58844286037,
15,Buy Partial,2022-04-18,38858.932957873454,0.11435720644304327,4.443799018419913,15826.34562542204,Partial TP
16,Buy Close,2022-04-19,40145.71375362552,0.11435720644304327,4.590951675526675,11230.802998219839,Stop Loss
17,Sell Short,2022-06-13,26737.578125,0.39903624772704976,10.669262848308847,21889.396583680376,
18,Buy Partial,2022-06-14,21890.581345203434,0.19951812386352488,4.367567720276866,17517.461295683235,Partial TP
19,Buy Close,2022-06-15,22566.483952640523,0.19951812386352488,4.502422540427179,13010.53633271563,Stop Loss
20,Sell Short,2022-08-18,23341.0390625,0.5295398153862649,12.360009516079849,25358.1858392794,
21,Buy Partial,2022-08-26,20856.801423091936,0.26476990769313247,5.522253387566046,19830.410198325786,Partial TP
22,Buy Close,2022-08-30,20429.834693311714,0.26476990769313247,5.409205445934098,14415.795546945754,Stop Loss
23,Sell Short,2022-09-20,19545.591796875,0.70066979357402,13.695005769598465,28097.106310774623,
24,Buy Close,2022-09-29,19427.779296875,0.70066979357402,13.612458109543025,14471.035743122055,Exit Signal
25,Sell Short,2022-11-09,18543.76171875,0.7413535702448965,13.74748395596595,28204.77221513204,
26,Buy Partial,2022-11-10,15935.6702025763,0.3706767851224482,5.906982999462576,22291.882232670003,Partial TP
27,Buy Close,2022-11-11,16703.382393412066,0.3706767851224482,6.19155608626089,16094.134590322852,Stop Loss
28,Sell Short,2022-12-20,16441.787109375,0.9299127740249584,15.28942786080671,31368.273023268754,
29,Buy Close,2022-12-25,16847.505859375,0.9299127740249584,15.666710909093148,15685.895403266511,Exit Signal
30,Sell Short,2022-12-29,16552.322265625,0.9002725052091363,14.901600633103186,30572.594435736595,
31,Buy Close,2023-01-04,16680.205078125,0.9002725052091363,15.016730013085752,15540.847692637759,Exit Signal
32,Buy Long,2023-02-19,24640.02734375,0.5991797452997042,14.763805308005873,762.27857932388,
33,Sell Close,2023-02-24,23474.412757313512,0.5991797452997042,14.065392656987237,14813.60584365413,Stop Loss
34,Buy Long,2023-03-15,24770.92578125,0.568122712721691,14.072925551471425,726.607366631235,
35,Sell Partial,2023-03-19,28271.98440536115,0.2840613563608455,8.03097823719956,8749.554625593595,Partial TP
36,Sell Close,2023-03-20,27273.541005504616,0.2840613563608455,7.7473590507867796,16489.16631732959,Stop Loss
37,Buy Long,2023-04-12,30231.58203125,0.5181570711473419,15.664708001463108,808.7936078650182,
38,Sell Close,2023-04-18,29449.091796875,0.5181570711473419,15.259255153417962,16052.789506129562,Exit Signal
39,Buy Long,2023-05-29,28075.591796875,0.5431817837058212,15.250150030823082,787.389325275657,
40,Sell Close,2023-05-31,26894.895842657923,0.5431817837058212,14.608817496397206,15381.598004176465,Stop Loss
41,Buy Long,2023-06-07,27235.650390625,0.5365217240781418,14.612518103967641,754.4673821048564,
42,Sell Close,2023-06-08,26347.654296875,0.5365217240781418,14.136088908774237,14876.420201970319,Exit Signal
43,Buy Long,2023-06-18,26510.45703125,0.5330952678489312,14.132599191871801,729.6884109066468,
44,Sell Partial,2023-06-21,29072.575197918588,0.2665476339244656,7.749226131096302,8471.165315871853,Partial TP
45,Sell Close,2023-06-22,29883.29068923547,0.2665476339244656,7.9653204270927285,16428.520422537487,Stop Loss
46,Buy Long,2023-08-10,29563.97265625,0.5279092422009523,15.607094401410611,805.8189267254656,
47,Sell Close,2023-08-17,28678.77492902955,0.5279092422009523,15.13979034003566,15930.469476421089,Stop Loss
48,Buy Long,2023-08-30,27726.083984375,0.5458378475347889,15.133946002600034,781.3895278184555,
49,Sell Close,2023-08-31,26701.607097822074,0.5458378475347889,14.574747743994843,15341.562524069304,Stop Loss
50,Sell Short,2023-10-12,26873.29296875,0.5423408443027057,14.57448439786584,29901.472437537275,
51,Buy Close,2023-10-16,27789.748914410236,0.5423408443027057,15.071515889201446,14814.885032446628,Stop Loss
52,Buy Long,2023-10-17,28522.09765625,0.49344690388647666,14.074140780824296,726.6701108415091,
53,Sell Partial,2023-10-23,30664.09895204151,0.24672345194323833,7.5655523441767185,8284.65690267405,Partial TP
54,Sell Close,2023-10-24,33656.4370680695,0.24672345194323833,8.303832333544472,16580.185403884978,Stop Loss
55,Buy Long,2023-12-04,39978.62890625,0.39398990322122557,15.751176133690729,813.2580940605585,
